Date,Stock A
1/12/2020,82.909604
2/12/2020,81.280563
3/12/2020,81.846441
4/12/2020,82.480909
7/12/2020,83.218265
8/12/2020,81.623519
9/12/2020,80.783277
10/12/2020,79.943035
11/12/2020,79.771557
14/12/2020,80.303139
15/12/2020,82.755274
16/12/2020,84.538645
17/12/2020,85.344592
18/12/2020,82.155101
21/12/2020,82.326579
22/12/2020,83.304004
23/12/2020,81.93218
24/12/2020,82.995343
28/12/2020,83.715551
29/12/2020,83.132526
30/12/2020,84.015637
31/12/2020,84.584009
4/01/2021,81.363237
5/01/2021,80.915429
6/01/2021,80.260941
7/01/2021,80.450398
8/01/2021,80.708749
11/01/2021,80.502068
12/01/2021,79.95092
13/01/2021,80.915429
14/01/2021,80.174824
15/01/2021,82.086619
19/01/2021,81.604364
20/01/2021,85.25572
21/01/2021,85.462401
22/01/2021,85.565741
25/01/2021,86.047996
26/01/2021,87.735887
27/01/2021,85.548518
28/01/2021,84.205094
29/01/2021,84.291211
1/02/2021,87.735887
2/02/2021,88.200918
3/02/2021,85.376284
4/02/2021,85.514071
5/02/2021,86.116889
8/02/2021,85.910209
9/02/2021,86.047996
10/02/2021,86.771378
11/02/2021,87.425866
12/02/2021,88.700396
16/02/2021,88.269811
17/02/2021,87.735887
18/02/2021,85.531294
19/02/2021,85.410731
22/02/2021,85.25572
23/02/2021,85.290167
24/02/2021,85.841315
25/02/2021,83.98119
26/02/2021,82.189959
1/03/2021,82.913341
2/03/2021,82.034949
3/03/2021,80.502068
4/03/2021,80.243717
5/03/2021,81.966055
8/03/2021,81.690481
9/03/2021,82.069395
10/03/2021,82.138289
11/03/2021,83.085575
12/03/2021,84.859583
15/03/2021,86.53025
16/03/2021,86.668037
17/03/2021,86.099666
18/03/2021,87.201962
19/03/2021,85.376284
22/03/2021,86.58192
23/03/2021,87.80478
24/03/2021,87.133069
25/03/2021,87.081398
26/03/2021,88.597056
29/03/2021,87.115845
30/03/2021,87.822004
31/03/2021,87.216335
1/04/2021,89.690925
5/04/2021,90.158155
6/04/2021,91.21375
7/04/2021,91.075311
8/04/2021,91.282969
9/04/2021,91.507932
12/04/2021,91.992467
13/04/2021,93.861389
14/04/2021,91.767505
15/04/2021,94.553582
16/04/2021,94.813154
19/04/2021,95.609176
20/04/2021,97.754975
21/04/2021,97.616536
22/04/2021,95.453433
23/04/2021,95.574567
26/04/2021,96.23215
27/04/2021,96.30137
28/04/2021,95.280385
29/04/2021,95.661091
30/04/2021,96.128321
3/05/2021,95.470738
4/05/2021,95.107336
5/05/2021,92.978843
6/05/2021,94.449753
7/05/2021,95.22847
10/05/2021,94.276705
11/05/2021,92.078991
12/05/2021,91.300274
13/05/2021,92.425088
14/05/2021,93.134586
17/05/2021,93.359549
18/05/2021,93.774865
19/05/2021,93.549902
20/05/2021,94.865069
21/05/2021,94.951593
24/05/2021,98.135681
25/05/2021,95.695701
26/05/2021,95.574567
27/05/2021,94.674716
28/05/2021,95.574567
1/06/2021,96.197541
2/06/2021,96.699381
3/06/2021,97.876109
4/06/2021,97.391574
7/06/2021,99.433543
8/06/2021,100.54105
9/06/2021,101.04289
10/06/2021,102.23693
11/06/2021,102.54841
14/06/2021,102.5138
15/06/2021,101.82161
16/06/2021,99.918079
17/06/2021,101.59665
18/06/2021,99.260495
21/06/2021,101.89083
22/06/2021,101.38899
23/06/2021,101.12942
24/06/2021,100.83523
25/06/2021,102.44458
28/06/2021,101.40629
29/06/2021,100.57566
30/06/2021,98.95964
1/07/2021,99.255042
2/07/2021,99.811092
6/07/2021,101.01008
7/07/2021,101.18384
8/07/2021,100.71467
9/07/2021,102.1048
12/07/2021,102.9215
13/07/2021,101.44449
14/07/2021,101.96579
15/07/2021,102.86937
16/07/2021,102.79986
19/07/2021,102.01792
20/07/2021,104.65916
21/07/2021,105.18046
22/07/2021,104.60703
23/07/2021,106.20568
26/07/2021,105.28472
27/07/2021,105.97978
28/07/2021,105.94503
29/07/2021,106.50108
30/07/2021,106.90074
2/08/2021,106.34469
3/08/2021,107.94333
4/08/2021,107.09188
5/08/2021,108.51676
6/08/2021,107.63055
9/08/2021,107.16139
10/08/2021,105.49324
11/08/2021,105.71913
12/08/2021,106.2578
13/08/2021,106.84861
16/08/2021,106.97024
17/08/2021,107.19614
18/08/2021,106.2578
19/08/2021,106.2578
20/08/2021,106.97024
23/08/2021,106.11879
24/08/2021,104.71129
25/08/2021,104.50277
26/08/2021,104.50277
27/08/2021,105.64962
30/08/2021,107.83907
31/08/2021,107.61318
1/09/2021,109.48985
2/09/2021,110.3413
3/09/2021,110.23704
7/09/2021,108.98593
8/09/2021,109.35084
9/09/2021,106.72697
10/09/2021,104.58965
13/09/2021,105.12833
14/09/2021,105.40635
15/09/2021,104.97194
16/09/2021,104.83292
17/09/2021,103.54706
20/09/2021,103.70345
21/09/2021,104.46802
22/09/2021,104.53752
23/09/2021,102.38283
24/09/2021,101.30548
27/09/2021,99.272418
28/09/2021,99.376678
29/09/2021,100.03699
30/09/2021,99.024927
1/10/2021,100.61282
4/10/2021,100.15913
5/10/2021,99.094724
6/10/2021,100.40342
7/10/2021,101.79937
8/10/2021,100.85711
11/10/2021,101.24099
12/10/2021,102.65439
13/10/2021,104.46912
14/10/2021,105.89996
15/10/2021,106.40599
18/10/2021,108.51736
19/10/2021,108.76165
20/10/2021,111.37905
21/10/2021,113.9441
22/10/2021,114.27564
25/10/2021,115.60179
26/10/2021,116.33466
27/10/2021,116.02057
28/10/2021,118.60307
29/10/2021,117.25947
1/11/2021,117.81785
2/11/2021,117.8353
3/11/2021,118.70777
4/11/2021,118.70777
5/11/2021,118.67287
8/11/2021,120.36545
9/11/2021,120.71444
10/11/2021,121.29027
11/11/2021,121.37751
12/11/2021,121.08088
15/11/2021,122.44192
16/11/2021,121.98824
17/11/2021,122.58152
18/11/2021,123.66338
19/11/2021,124.22175
22/11/2021,123.36674
23/11/2021,124.4486
24/11/2021,125.7573
26/11/2021,122.59897
29/11/2021,123.89022
30/11/2021,122.28488
1/12/2021,121.91844
2/12/2021,124.46604
3/12/2021,124.79758
6/12/2021,127.27539
7/12/2021,130.62566
8/12/2021,131.79476
9/12/2021,130.38137
10/12/2021,131.06189
13/12/2021,132.87662
14/12/2021,130.8176
15/12/2021,134.27257
16/12/2021,132.89407
17/12/2021,132.33569
20/12/2021,133.60949
21/12/2021,134.58665
22/12/2021,136.69802
23/12/2021,135.23228
27/12/2021,137.20405
28/12/2021,138.18122
29/12/2021,140.76372
30/12/2021,141.23485
31/12/2021,141.9524
3/01/2022,140.39479
4/01/2022,138.81968
5/01/2022,135.86197
6/01/2022,134.8294
7/01/2022,131.81919
10/01/2022,131.20665
11/01/2022,130.85662
12/01/2022,130.83912
13/01/2022,130.85662
14/01/2022,129.57903
18/01/2022,127.93392
19/01/2022,127.79391
20/01/2022,126.97135
21/01/2022,126.86635
24/01/2022,125.64126
25/01/2022,124.34617
26/01/2022,123.3486
27/01/2022,120.91593
28/01/2022,125.48375
31/01/2022,128.05643
1/02/2022,126.65633
2/02/2022,129.52653
3/02/2022,127.74141
4/02/2022,125.95628
7/02/2022,125.90378
8/02/2022,126.06129
9/02/2022,129.68404
10/02/2022,123.3311
11/02/2022,122.24602
