Date,Stock B
1/12/2020,88.95278
2/12/2020,86.80806
3/12/2020,86.24526
4/12/2020,87.78155
7/12/2020,87.91845
8/12/2020,86.62553
9/12/2020,86.24526
10/12/2020,85.51514
11/12/2020,84.7546
14/12/2020,84.98276
15/12/2020,86.86345
16/12/2020,87.52093
17/12/2020,88.62182
18/12/2020,87.53622
21/12/2020,87.42919
22/12/2020,88.28544
23/12/2020,86.46591
24/12/2020,87.96435
28/12/2020,88.83589
29/12/2020,87.84202
30/12/2020,88.27015
31/12/2020,89.46278
4/01/2021,85.59437
5/01/2021,86.16011
6/01/2021,85.33444
7/01/2021,85.2427
8/01/2021,85.97662
11/01/2021,84.93689
12/01/2021,83.74426
13/01/2021,84.7687
14/01/2021,84.58522
15/01/2021,85.71669
19/01/2021,84.87573
20/01/2021,86.45062
21/01/2021,86.97049
22/01/2021,87.24571
25/01/2021,87.59738
26/01/2021,88.71356
27/01/2021,86.29772
28/01/2021,86.34359
29/01/2021,86.51178
1/02/2021,89.24872
2/02/2021,90.82361
3/02/2021,90.13555
4/02/2021,91.69515
5/02/2021,91.63399
8/02/2021,92.38321
9/02/2021,90.65542
10/02/2021,90.82361
11/02/2021,93.31591
12/02/2021,93.45352
16/02/2021,91.71044
17/02/2021,90.94593
18/02/2021,89.69214
19/02/2021,89.38633
22/02/2021,89.38633
23/02/2021,90.0591
24/02/2021,88.89705
25/02/2021,87.19984
26/02/2021,85.68611
1/03/2021,86.23656
2/03/2021,84.7687
3/03/2021,83.36201
4/03/2021,83.08678
5/03/2021,85.47205
8/03/2021,84.73812
9/03/2021,84.87573
10/03/2021,84.89102
11/03/2021,86.16011
12/03/2021,87.82673
15/03/2021,89.15698
16/03/2021,89.21814
17/03/2021,88.75944
18/03/2021,89.23343
19/03/2021,87.36803
22/03/2021,88.28544
23/03/2021,89.93678
24/03/2021,89.46278
25/03/2021,89.26401
26/03/2021,91.04652
29/03/2021,89.9094
30/03/2021,90.0016
31/03/2021,88.77228
1/04/2021,90.98506
5/04/2021,90.90823
6/04/2021,92.02998
7/04/2021,91.41532
8/04/2021,91.63045
9/04/2021,92.13755
12/04/2021,92.59854
13/04/2021,94.38106
14/04/2021,92.87514
15/04/2021,95.45671
16/04/2021,94.64229
19/04/2021,95.74867
20/04/2021,97.83852
21/04/2021,97.70022
22/04/2021,96.68603
23/04/2021,97.34679
26/04/2021,97.51582
27/04/2021,97.68485
28/04/2021,97.80779
29/04/2021,98.42245
30/04/2021,99.14467
3/05/2021,98.33025
4/05/2021,97.88462
5/05/2021,96.22504
6/05/2021,97.86925
7/05/2021,98.59148
10/05/2021,98.03828
11/05/2021,96.1943
12/05/2021,94.25812
13/05/2021,95.74867
14/05/2021,96.8397
17/05/2021,96.5631
18/05/2021,96.97799
19/05/2021,97.03946
20/05/2021,97.91535
21/05/2021,97.65412
24/05/2021,99.11394
25/05/2021,98.23805
26/05/2021,98.25341
27/05/2021,97.19313
28/05/2021,97.76169
1/06/2021,98.53001
2/06/2021,99.6364
3/06/2021,99.48273
4/06/2021,99.4059
7/06/2021,100.0974
8/06/2021,101.3267
9/06/2021,101.3267
10/06/2021,102.2641
11/06/2021,102.218
14/06/2021,103.4934
15/06/2021,103.14
16/06/2021,101.465
17/06/2021,102.1411
18/06/2021,99.97446
21/06/2021,102.2026
22/06/2021,101.5879
23/06/2021,100.9887
24/06/2021,100.8504
25/06/2021,101.6955
28/06/2021,100.8504
29/06/2021,100.8196
30/06/2021,99.66113
1/07/2021,99.66113
2/07/2021,100.0318
6/07/2021,101.2521
7/07/2021,101.9936
8/07/2021,101.5302
9/07/2021,103.1984
12/07/2021,103.9089
13/07/2021,102.3179
14/07/2021,102.7659
15/07/2021,103.2602
16/07/2021,103.5073
19/07/2021,102.009
20/07/2021,105.1755
21/07/2021,104.0634
22/07/2021,103.8317
23/07/2021,105.0674
26/07/2021,104.3723
27/07/2021,104.6349
28/07/2021,104.9747
29/07/2021,105.4381
30/07/2021,105.5926
2/08/2021,105.2219
3/08/2021,105.3455
4/08/2021,104.1252
5/08/2021,105.6698
6/08/2021,105.33
9/08/2021,105.2219
10/08/2021,103.4764
11/08/2021,103.7854
12/08/2021,103.878
13/08/2021,104.2488
16/08/2021,103.9398
17/08/2021,103.4764
18/08/2021,101.9781
19/08/2021,102.3179
20/08/2021,102.2716
23/08/2021,102.7041
24/08/2021,101.144
25/08/2021,100.5879
26/08/2021,100.5725
27/08/2021,101.4993
30/08/2021,103.461
31/08/2021,103.1984
1/09/2021,104.9747
2/09/2021,106.5966
3/09/2021,106.9828
7/09/2021,106.3958
8/09/2021,106.2723
9/09/2021,104.0634
10/09/2021,101.7773
13/09/2021,101.7464
14/09/2021,102.3334
15/09/2021,102.1326
16/09/2021,102.1944
17/09/2021,100.2635
20/09/2021,100.2944
21/09/2021,100.6497
22/09/2021,100.7424
23/09/2021,99.72292
24/09/2021,98.8888
27/09/2021,97.7921
28/09/2021,97.65308
29/09/2021,98.79612
30/09/2021,98.19371
1/10/2021,99.31184
4/10/2021,99.6069
5/10/2021,99.29631
6/10/2021,100.725
7/10/2021,102.1072
8/10/2021,101.7345
11/10/2021,101.6258
12/10/2021,102.6507
13/10/2021,104.6074
14/10/2021,106.1138
15/10/2021,106.3002
18/10/2021,108.583
19/10/2021,108.9557
20/10/2021,109.5614
21/10/2021,111.0367
22/10/2021,111.5492
25/10/2021,111.0678
26/10/2021,111.4249
27/10/2021,111.2852
28/10/2021,114.5464
29/10/2021,113.568
1/11/2021,115.7111
2/11/2021,116.9069
3/11/2021,118.0095
4/11/2021,120.5719
5/11/2021,115.7422
8/11/2021,116.8448
9/11/2021,117.3883
10/11/2021,117.3262
11/11/2021,118.2424
12/11/2021,118.4754
15/11/2021,118.7704
16/11/2021,118.8326
17/11/2021,119.4537
18/11/2021,120.2147
19/11/2021,120.6961
22/11/2021,119.6401
23/11/2021,121.0843
24/11/2021,121.7521
26/11/2021,117.6212
29/11/2021,118.5375
30/11/2021,118.258
1/12/2021,117.5125
2/12/2021,120.5253
3/12/2021,119.9662
6/12/2021,121.7677
7/12/2021,123.5536
8/12/2021,124.9357
9/12/2021,122.6062
10/12/2021,123.1032
13/12/2021,126.8458
14/12/2021,124.3101
15/12/2021,126.7268
16/12/2021,125.8381
17/12/2021,124.2946
20/12/2021,124.9026
21/12/2021,124.6688
22/12/2021,126.0096
23/12/2021,126.8204
27/12/2021,128.6601
28/12/2021,130.2193
29/12/2021,132.5424
30/12/2021,132.6983
31/12/2021,132.979
3/01/2022,131.5134
4/01/2022,129.2838
5/01/2022,125.9628
6/01/2022,125.0741
7/01/2022,122.1274
10/01/2022,121.5817
11/01/2022,119.5704
12/01/2022,119.9446
13/01/2022,121.379
14/01/2022,121.1451
18/01/2022,118.136
19/01/2022,116.4989
20/01/2022,116.3897
21/01/2022,114.4096
24/01/2022,114.5188
25/01/2022,112.679
26/01/2022,112.2112
27/01/2022,110.1843
28/01/2022,114.0978
31/01/2022,116.5768
1/02/2022,114.7682
2/02/2022,116.2494
3/02/2022,114.5499
4/02/2022,112.9752
7/02/2022,112.0709
8/02/2022,111.5408
