Date,Stock D
1/12/2020,75.52102
2/12/2020,73.5011
3/12/2020,73.18454
4/12/2020,74.36032
7/12/2020,73.50863
8/12/2020,73.04134
9/12/2020,72.67956
10/12/2020,73.24484
11/12/2020,73.38804
14/12/2020,73.01119
15/12/2020,75.03111
16/12/2020,75.25722
17/12/2020,76.24457
18/12/2020,74.34187
21/12/2020,73.72027
22/12/2020,74.02349
23/12/2020,72.91674
24/12/2020,73.71269
28/12/2020,74.45558
29/12/2020,74.07655
30/12/2020,74.91041
31/12/2020,75.54717
4/01/2021,72.80303
5/01/2021,72.91674
6/01/2021,71.18839
7/01/2021,72.25724
8/01/2021,73.22754
11/01/2021,71.75692
12/01/2021,71.79483
13/01/2021,72.32546
14/01/2021,72.39368
15/01/2021,74.04623
19/01/2021,74.29639
20/01/2021,76.06264
21/01/2021,76.13087
22/01/2021,76.72973
25/01/2021,77.85164
26/01/2021,80.3911
27/01/2021,78.29131
28/01/2021,78.38227
29/01/2021,78.23066
1/02/2021,80.28498
2/02/2021,81.02028
3/02/2021,80.38352
4/02/2021,80.664
5/02/2021,80.88383
8/02/2021,81.17189
9/02/2021,81.42963
10/02/2021,81.50543
11/02/2021,81.68737
12/02/2021,81.61914
16/02/2021,80.79287
17/02/2021,80.22433
18/02/2021,80.18643
19/02/2021,79.82257
22/02/2021,79.3829
23/02/2021,79.25403
24/02/2021,78.26098
25/02/2021,76.85859
26/02/2021,75.09992
1/03/2021,75.37282
2/03/2021,75.11508
3/03/2021,72.85609
4/03/2021,72.49981
5/03/2021,73.81124
8/03/2021,72.73481
9/03/2021,74.53138
10/03/2021,74.07655
11/03/2021,75.47136
12/03/2021,76.78279
15/03/2021,77.91228
16/03/2021,79.01145
17/03/2021,77.39681
18/03/2021,77.88196
19/03/2021,76.56244
22/03/2021,79.05656
23/03/2021,80.23878
24/03/2021,79.18622
25/03/2021,79.65148
26/03/2021,81.44389
29/03/2021,81.43626
30/03/2021,81.42864
31/03/2021,80.84896
1/04/2021,82.75578
5/04/2021,82.65663
6/04/2021,83.38121
7/04/2021,83.61766
8/04/2021,82.71002
9/04/2021,83.52613
12/04/2021,83.77783
13/04/2021,84.49479
14/04/2021,83.64054
15/04/2021,85.6999
16/04/2021,85.85245
19/04/2021,85.616
20/04/2021,87.52282
21/04/2021,87.49231
22/04/2021,87.46943
23/04/2021,87.61434
26/04/2021,87.8813
27/04/2021,87.59909
28/04/2021,87.78977
29/04/2021,88.68216
30/04/2021,88.88047
3/05/2021,88.48385
4/05/2021,88.17113
5/05/2021,86.19567
6/05/2021,87.49994
7/05/2021,88.49148
10/05/2021,88.62877
11/05/2021,87.60672
12/05/2021,85.70753
13/05/2021,86.56941
14/05/2021,87.44654
17/05/2021,87.09569
18/05/2021,87.69824
19/05/2021,87.98045
20/05/2021,89.51353
21/05/2021,89.6432
24/05/2021,90.11609
25/05/2021,90.13897
26/05/2021,89.62794
27/05/2021,89.13217
28/05/2021,89.87964
1/06/2021,91.39747
2/06/2021,92.85427
3/06/2021,92.95343
4/06/2021,93.35004
7/06/2021,93.57124
8/06/2021,94.31871
9/06/2021,94.28057
10/06/2021,96.31705
11/06/2021,95.11957
14/06/2021,96.22552
15/06/2021,94.40261
16/06/2021,93.08401
17/06/2021,93.99629
18/06/2021,91.66574
21/06/2021,93.98096
22/06/2021,93.51332
23/06/2021,92.85402
24/06/2021,92.96901
25/06/2021,93.52865
28/06/2021,93.23733
29/06/2021,93.107
30/06/2021,91.63508
1/07/2021,91.98006
2/07/2021,92.78502
6/07/2021,93.94263
7/07/2021,94.5176
8/07/2021,94.37961
9/07/2021,96.12752
12/07/2021,97.67611
13/07/2021,96.29618
14/07/2021,96.77149
15/07/2021,97.30813
16/07/2021,97.57645
19/07/2021,97.19313
20/07/2021,98.12075
21/07/2021,97.28513
22/07/2021,97.49212
23/07/2021,98.04409
26/07/2021,98.11309
27/07/2021,99.04071
28/07/2021,97.84477
29/07/2021,98.04409
30/07/2021,98.15909
2/08/2021,98.48107
3/08/2021,99.40869
4/08/2021,98.81839
5/08/2021,100.0067
6/08/2021,99.43935
9/08/2021,99.66934
10/08/2021,99.16337
11/08/2021,98.81839
12/08/2021,99.71534
13/08/2021,101.1796
16/08/2021,102.4905
17/08/2021,102.7895
18/08/2021,101.5782
19/08/2021,102.0766
20/08/2021,102.9198
23/08/2021,102.2605
24/08/2021,100.2366
25/08/2021,100.068
26/08/2021,100.137
27/08/2021,100.666
30/08/2021,102.5212
31/08/2021,103.2342
1/09/2021,105.6337
2/09/2021,106.155
3/09/2021,106.5537
7/09/2021,105.5264
8/09/2021,106.2087
9/09/2021,103.2802
10/09/2021,102.4445
13/09/2021,101.7929
14/09/2021,101.6166
15/09/2021,102.1839
16/09/2021,102.1226
17/09/2021,100.22
20/09/2021,99.4112
21/09/2021,99.24944
22/09/2021,100.143
23/09/2021,99.24174
24/09/2021,98.51768
27/09/2021,97.20052
28/09/2021,96.73066
29/09/2021,97.39309
30/09/2021,96.61511
1/10/2021,97.38539
4/10/2021,97.69349
5/10/2021,97.38539
6/10/2021,98.43295
7/10/2021,99.65769
8/10/2021,99.00296
11/10/2021,99.31877
12/10/2021,101.8992
13/10/2021,103.1393
14/10/2021,104.5489
15/10/2021,105.5117
18/10/2021,107.6762
19/10/2021,107.1601
20/10/2021,110.4723
21/10/2021,111.6431
22/10/2021,110.9191
25/10/2021,111.7663
26/10/2021,112.6368
27/10/2021,110.8112
28/10/2021,112.9757
29/10/2021,111.6585
1/11/2021,111.4813
2/11/2021,113.253
3/11/2021,113.7305
4/11/2021,113.9
5/11/2021,112.9911
8/11/2021,114.0541
9/11/2021,114.3468
10/11/2021,114.5932
11/11/2021,114.7011
12/11/2021,114.6241
15/11/2021,115.6947
16/11/2021,115.1324
17/11/2021,115.8334
18/11/2021,115.9874
19/11/2021,115.7101
22/11/2021,116.2339
23/11/2021,117.528
24/11/2021,119.0146
26/11/2021,115.4482
29/11/2021,118.0672
30/11/2021,116.1184
1/12/2021,116.8501
2/12/2021,118.9453
3/12/2021,119.1301
6/12/2021,120.586
7/12/2021,122.7042
8/12/2021,122.812
9/12/2021,121.3639
10/12/2021,122.5347
13/12/2021,124.5606
14/12/2021,122.7433
15/12/2021,125.705
16/12/2021,126.2386
17/12/2021,124.6379
20/12/2021,124.8003
21/12/2021,124.3363
22/12/2021,125.473
23/12/2021,125.0787
27/12/2021,128.28
28/12/2021,128.2027
29/12/2021,129.6642
30/12/2021,129.8885
31/12/2021,130.1901
3/01/2022,127.5145
4/01/2022,124.4987
5/01/2022,121.9082
6/01/2022,121.073
7/01/2022,118.8769
10/01/2022,118.3279
11/01/2022,118.3047
12/01/2022,118.498
13/01/2022,118.4284
14/01/2022,118.1114
18/01/2022,118.6449
19/01/2022,118.7687
20/01/2022,119.194
21/01/2022,120.1915
24/01/2022,118.5521
25/01/2022,119.0548
26/01/2022,117.3226
27/01/2022,114.9177
28/01/2022,119.9131
31/01/2022,121.2664
1/02/2022,118.7145
2/02/2022,121.6607
3/02/2022,120.9725
4/02/2022,118.6913
7/02/2022,117.5778
8/02/2022,116.9128
9/02/2022,120.1451
10/02/2022,114.7785
11/02/2022,113.1392
14/02/2022,112.3891
15/02/2022,112.6056
16/02/2022,111.6467
17/02/2022,110.7961
18/02/2022,110.2316
22/02/2022,110.0924
23/02/2022,108.8474
24/02/2022,110.8348
25/02/2022,114.794
28/02/2022,112.7834
1/03/2022,112.7138
2/03/2022,114.1676
3/03/2022,115.6678
4/03/2022,116.6421
7/03/2022,115.1497
8/03/2022,113.665
9/03/2022,116.3637
10/03/2022,116.8277
11/03/2022,114.3145
14/03/2022,115.3507
15/03/2022,117.4154
16/03/2022,119.5265
17/03/2022,121.7535
18/03/2022,124.4737
21/03/2022,123.51
22/03/2022,123.3157
23/03/2022,122.1965
24/03/2022,121.1551
25/03/2022,122.2742
28/03/2022,124.6213
29/03/2022,128.0021
30/03/2022,127.5669
31/03/2022,125.4996
1/04/2022,128.857
4/04/2022,127.2871
5/04/2022,129.23
6/04/2022,132.2066
7/04/2022,131.2119
8/04/2022,131.072
11/04/2022,128.8026
12/04/2022,128.4917
13/04/2022,128.2352
14/04/2022,126.4477
18/04/2022,126.6809
19/04/2022,131.7792
20/04/2022,134.1962
21/04/2022,132.7274
22/04/2022,131.1341
25/04/2022,130.357
26/04/2022,128.7249
27/04/2022,130.3103
28/04/2022,134.4605
29/04/2022,124.5747
2/05/2022,119.0101
3/05/2022,118.4116
4/05/2022,118.3495
5/05/2022,112.676
6/05/2022,109.4896
9/05/2022,102.8758
10/05/2022,97.46656
11/05/2022,96.16866
12/05/2022,96.31632
13/05/2022,99.75147
16/05/2022,97.34221
17/05/2022,97.84738
18/05/2022,92.89672
19/05/2022,93.04438
20/05/2022,93.04438
23/05/2022,93.63504
24/05/2022,93.32417
25/05/2022,93.28531
26/05/2022,95.09615
27/05/2022,98.90434
31/05/2022,99.07532
1/06/2022,97.81629
2/06/2022,100.6763
3/06/2022,99.15304
6/06/2022,99.37843
7/06/2022,100.7851
8/06/2022,96.96916
9/06/2022,94.94848
10/06/2022,91.11697
13/06/2022,84.26998
14/06/2022,86.0031
15/06/2022,90.06
16/06/2022,87.47769
17/06/2022,86.35869
21/06/2022,87.92372
22/06/2022,90.34953
23/06/2022,92.52493
24/06/2022,95.92888
27/06/2022,94.06649
28/06/2022,93.08834
29/06/2022,92.57971
30/06/2022,92.06324
1/07/2022,93.92564
5/07/2022,95.02116
6/07/2022,95.04464
7/07/2022,95.91323
8/07/2022,95.13854
11/07/2022,95.29504
12/07/2022,94.61425
13/07/2022,94.49688
14/07/2022,92.43885
15/07/2022,94.69251
18/07/2022,93.27615
19/07/2022,97.90083
20/07/2022,97.47827
21/07/2022,98.34686
22/07/2022,99.30154
25/07/2022,99.77887
26/07/2022,99.84147
27/07/2022,99.68497
28/07/2022,103.6054
29/07/2022,103.7306
1/08/2022,102.4942
2/08/2022,101.2344
3/08/2022,102.2908
4/08/2022,102.3142
5/08/2022,102.815
8/08/2022,102.682
9/08/2022,103.9966
10/08/2022,105.1782
11/08/2022,105.0374
12/08/2022,107.3928
15/08/2022,108.2848
16/08/2022,107.291
17/08/2022,107.5102
18/08/2022,106.9154
19/08/2022,104.92
22/08/2022,102.4629
23/08/2022,100.5223
24/08/2022,102.6038
25/08/2022,103.9027
26/08/2022,100.4362
29/08/2022,99.60672
30/08/2022,98.32339
31/08/2022,97.43132
1/09/2022,97.26699
2/09/2022,95.38112
6/09/2022,96.87573
7/09/2022,99.09026
8/09/2022,100.0919
9/09/2022,101.4378
12/09/2022,101.8838
13/09/2022,97.87735
14/09/2022,95.36547
15/09/2022,91.53762
16/09/2022,89.52918
19/09/2022,88.84395
20/09/2022,87.37109
21/09/2022,85.49655
22/09/2022,85.48867
23/09/2022,85.53593
26/09/2022,82.03888
27/09/2022,80.55815
28/09/2022,81.85773
29/09/2022,79.69964
30/09/2022,80.02256
3/10/2022,82.1964
4/10/2022,83.48023
5/10/2022,83.04704
6/10/2022,80.2746
7/10/2022,79.04591
10/10/2022,77.89598
11/10/2022,79.25857
12/10/2022,79.10104
13/10/2022,80.74718
14/10/2022,78.39218
17/10/2022,82.88164
18/10/2022,83.36996
19/10/2022,80.34549
20/10/2022,80.69992
21/10/2022,81.18825
24/10/2022,81.41666
25/10/2022,85.32327
26/10/2022,86.53621
27/10/2022,87.4341
28/10/2022,88.98572
31/10/2022,87.22932
1/11/2022,85.49655
2/11/2022,84.07095
3/11/2022,85.07123
4/11/2022,84.76406
7/11/2022,85.79584
8/11/2022,86.44169
9/11/2022,85.68558
10/11/2022,93.20738
11/11/2022,91.46673
14/11/2022,88.60766
15/11/2022,88.80457
16/11/2022,89.51343
17/11/2022,88.45801
18/11/2022,90.23016
21/11/2022,90.53734
22/11/2022,91.19107
23/11/2022,90.99416
25/11/2022,91.67152
28/11/2022,87.78853
29/11/2022,89.63945
30/11/2022,92.77419
1/12/2022,92.23073
2/12/2022,92.10471
5/12/2022,89.99388
6/12/2022,90.26167
7/12/2022,91.36434
8/12/2022,92.62454
9/12/2022,91.61638
12/12/2022,92.96322
13/12/2022,95.37335
14/12/2022,95.75928
15/12/2022,93.40429
16/12/2022,89.0251
19/12/2022,88.89026
20/12/2022,88.97751
21/12/2022,90.37348
22/12/2022,89.84206
23/12/2022,90.11967
27/12/2022,89.85793
28/12/2022,87.60533
29/12/2022,90.39728
30/12/2022,89.41375
3/01/2023,89.38203
4/01/2023,92.76885
5/01/2023,89.50893
6/01/2023,92.52297
9/01/2023,92.055
10/01/2023,92.04707
11/01/2023,95.93359
12/01/2023,96.86159
13/01/2023,96.6871
17/01/2023,96.30638
18/01/2023,97.28197
19/01/2023,96.20326
20/01/2023,97.41681
23/01/2023,99.9946
24/01/2023,100.2563
25/01/2023,99.6932
26/01/2023,101.573
27/01/2023,102.9848
30/01/2023,101.3589
31/01/2023,102.5407
1/02/2023,103.8256
2/02/2023,106.6731
3/02/2023,104.3967
6/02/2023,104.2539
7/02/2023,103.3259
8/02/2023,102.9531
9/02/2023,101.5571
10/02/2023,101.5968
13/02/2023,102.5486
14/02/2023,101.3113
15/02/2023,101.1526
16/02/2023,99.77252
17/02/2023,99.39973
21/02/2023,97.9403
22/02/2023,97.48026
23/02/2023,98.36068
24/02/2023,96.27465
27/02/2023,97.4882
28/02/2023,97.87685
1/03/2023,96.07636
2/03/2023,98.84451
3/03/2023,100.6926
6/03/2023,100.8592
7/03/2023,98.20998
8/03/2023,99.19351
9/03/2023,96.2112
10/03/2023,92.78471
13/03/2023,93.88722
14/03/2023,95.04524
15/03/2023,95.18801
16/03/2023,95.94152
17/03/2023,92.69793
20/03/2023,94.83103
21/03/2023,94.5594
22/03/2023,91.17201
23/03/2023,91.19597
24/03/2023,93.49684
27/03/2023,93.52081
28/03/2023,93.19326
29/03/2023,95.77375
30/03/2023,97.40353
31/03/2023,99.68043
3/04/2023,98.88152
4/04/2023,99.12918
5/04/2023,97.68315
6/04/2023,98.06663
10/04/2023,98.85755
11/04/2023,98.00272
12/04/2023,98.11456
13/04/2023,97.40353
14/04/2023,95.67788
17/04/2023,98.37821
18/04/2023,98.83359
19/04/2023,99.99201
20/04/2023,98.46609
21/04/2023,98.72973
24/04/2023,98.41815
25/04/2023,96.38092
26/04/2023,95.12663
27/04/2023,97.61125
28/04/2023,100.0639
,
,
,
,
,
,
,
,
,
,
