Date,Stock E
1/12/2020,75.39612
2/12/2020,73.53296
3/12/2020,73.37326
4/12/2020,74.45567
7/12/2020,74.27822
8/12/2020,73.79912
9/12/2020,73.56844
10/12/2020,72.92964
11/12/2020,72.41506
14/12/2020,73.12483
15/12/2020,74.52664
16/12/2020,74.77507
17/12/2020,75.27191
18/12/2020,72.30859
21/12/2020,72.80543
22/12/2020,74.29597
23/12/2020,73.01837
24/12/2020,73.74589
28/12/2020,74.20724
29/12/2020,73.76363
30/12/2020,74.40243
31/12/2020,75.20572
4/01/2021,72.90296
5/01/2021,73.67055
6/01/2021,73.7241
7/01/2021,73.59914
8/01/2021,74.43813
11/01/2021,73.15287
12/01/2021,72.90296
13/01/2021,73.74195
14/01/2021,73.45634
15/01/2021,73.18857
19/01/2021,73.43849
20/01/2021,75.59844
21/01/2021,75.41993
22/01/2021,74.79515
25/01/2021,74.61664
26/01/2021,75.58059
27/01/2021,73.50989
28/01/2021,72.778
29/01/2021,72.54594
1/02/2021,75.77695
2/02/2021,76.61594
3/02/2021,75.47349
4/02/2021,76.02686
5/02/2021,75.6877
8/02/2021,76.45528
9/02/2021,76.8123
10/02/2021,77.49063
11/02/2021,77.74055
12/02/2021,78.00831
16/02/2021,76.93726
17/02/2021,76.27677
18/02/2021,75.66984
19/02/2021,75.59844
22/02/2021,76.31248
23/02/2021,76.75875
24/02/2021,77.18717
25/02/2021,76.99081
26/02/2021,76.24107
1/03/2021,76.72305
2/03/2021,76.40173
3/03/2021,75.06292
4/03/2021,75.6877
5/03/2021,76.52669
8/03/2021,77.91905
9/03/2021,78.07971
10/03/2021,78.27607
11/03/2021,78.54384
12/03/2021,79.9005
15/03/2021,81.13221
16/03/2021,82.07831
17/03/2021,81.77484
18/03/2021,81.79269
19/03/2021,80.93585
22/03/2021,81.47138
23/03/2021,81.95335
24/03/2021,81.52493
25/03/2021,82.38177
26/03/2021,84.59528
29/03/2021,83.14936
30/03/2021,83.47068
31/03/2021,82.21386
1/04/2021,84.7634
5/04/2021,84.65568
6/04/2021,84.72749
7/04/2021,84.5659
8/04/2021,84.24272
9/04/2021,84.26068
12/04/2021,84.58386
13/04/2021,85.19431
14/04/2021,84.44022
15/04/2021,86.27158
16/04/2021,87.09749
19/04/2021,87.85158
20/04/2021,89.23408
21/04/2021,89.62908
22/04/2021,87.36681
23/04/2021,87.51045
26/04/2021,88.10295
27/04/2021,87.25908
28/04/2021,87.42068
29/04/2021,87.97727
30/04/2021,89.35977
3/05/2021,88.69545
4/05/2021,87.97727
5/05/2021,86.75636
6/05/2021,87.86954
7/05/2021,88.28249
10/05/2021,89.09045
11/05/2021,88.5159
12/05/2021,87.07954
13/05/2021,88.87499
14/05/2021,89.95227
17/05/2021,88.53386
18/05/2021,89.23408
19/05/2021,89.44954
20/05/2021,90.04204
21/05/2021,89.84454
24/05/2021,91.92727
25/05/2021,91.04749
26/05/2021,90.97568
27/05/2021,90.18568
28/05/2021,90.92181
1/06/2021,92.21454
2/06/2021,93.07636
3/06/2021,93.52522
4/06/2021,93.18408
7/06/2021,94.51272
8/06/2021,95.71567
9/06/2021,95.41045
10/06/2021,96.57749
11/06/2021,96.27227
14/06/2021,96.79295
15/06/2021,96.11067
16/06/2021,94.88977
17/06/2021,95.67977
18/06/2021,93.36363
21/06/2021,95.89522
22/06/2021,94.99749
23/06/2021,94.58454
24/06/2021,94.36908
25/06/2021,95.93113
28/06/2021,94.90772
29/06/2021,95.24886
30/06/2021,94.25631
1/07/2021,94.22021
2/07/2021,94.72551
6/07/2021,95.5376
7/07/2021,95.80829
8/07/2021,95.64588
9/07/2021,97.45052
12/07/2021,98.2987
13/07/2021,96.92717
14/07/2021,97.55879
15/07/2021,97.97386
16/07/2021,98.06409
19/07/2021,97.19787
20/07/2021,99.25516
21/07/2021,99.00251
22/07/2021,97.0535
23/07/2021,98.65962
26/07/2021,98.44307
27/07/2021,99.00251
28/07/2021,98.62353
29/07/2021,98.74986
30/07/2021,98.85814
2/08/2021,98.62353
3/08/2021,99.23711
4/08/2021,98.47916
5/08/2021,99.16492
6/08/2021,99.52585
9/08/2021,99.48976
10/08/2021,98.31674
11/08/2021,98.2987
12/08/2021,98.804
13/08/2021,99.45367
16/08/2021,99.41757
17/08/2021,100.5545
18/08/2021,99.14688
19/08/2021,99.67022
20/08/2021,100.2477
23/08/2021,99.68827
24/08/2021,98.10019
25/08/2021,98.028
26/08/2021,98.91227
27/08/2021,100.0131
30/08/2021,102.1606
31/08/2021,101.0417
1/09/2021,102.0884
2/09/2021,102.1967
3/09/2021,102.305
7/09/2021,100.0492
8/09/2021,100.4282
9/09/2021,98.13628
10/09/2021,96.89108
13/09/2021,97.48661
14/09/2021,97.48661
15/09/2021,97.91972
16/09/2021,97.63098
17/09/2021,96.31359
20/09/2021,96.29555
21/09/2021,96.34969
22/09/2021,97.14373
23/09/2021,96.72866
24/09/2021,95.91657
27/09/2021,94.94207
28/09/2021,94.85184
