Date,Stock F
1/12/2020,95.64173
2/12/2020,93.6166
3/12/2020,95.18148
4/12/2020,97.48277
7/12/2020,96.83841
8/12/2020,96.74636
9/12/2020,98.40329
10/12/2020,98.03508
11/12/2020,97.94303
14/12/2020,98.9556
15/12/2020,101.9013
16/12/2020,102.0854
17/12/2020,102.6377
18/12/2020,99.04765
21/12/2020,98.03508
22/12/2020,99.87611
23/12/2020,98.12713
24/12/2020,99.04765
28/12/2020,100.7046
29/12/2020,98.49534
30/12/2020,98.28822
31/12/2020,98.75316
4/01/2021,94.66169
5/01/2021,94.19675
6/01/2021,95.49858
7/01/2021,93.8248
8/01/2021,94.84767
11/01/2021,93.8248
12/01/2021,94.01078
13/01/2021,94.94066
14/01/2021,95.21962
15/01/2021,95.12663
19/01/2021,95.4056
20/01/2021,96.80041
21/01/2021,95.31261
22/01/2021,97.35834
25/01/2021,97.26535
26/01/2021,98.93914
27/01/2021,97.82328
28/01/2021,97.07938
29/01/2021,95.31261
1/02/2021,98.66017
2/02/2021,99.962
3/02/2021,99.59005
4/02/2021,99.86902
5/02/2021,101.6358
8/02/2021,102.4727
9/02/2021,103.0306
10/02/2021,103.7745
11/02/2021,104.2394
12/02/2021,103.8675
16/02/2021,102.1007
17/02/2021,101.1708
18/02/2021,100.5199
19/02/2021,101.5428
22/02/2021,102.2867
23/02/2021,102.7516
24/02/2021,103.8675
25/02/2021,102.6587
26/02/2021,99.68304
1/03/2021,100.5199
2/03/2021,98.75316
3/03/2021,98.93914
4/03/2021,98.84615
5/03/2021,100.7059
8/03/2021,102.2867
9/03/2021,102.6587
10/03/2021,102.5657
11/03/2021,103.1236
12/03/2021,106.4712
15/03/2021,109.2608
16/03/2021,107.494
17/03/2021,105.9132
18/03/2021,105.2623
19/03/2021,103.1236
22/03/2021,103.3096
23/03/2021,103.6815
24/03/2021,102.6587
25/03/2021,103.1236
26/03/2021,107.2151
29/03/2021,104.7974
30/03/2021,105.704
31/03/2021,104.2959
1/04/2021,107.7693
5/04/2021,107.5815
6/04/2021,107.957
7/04/2021,107.5815
8/04/2021,107.3938
9/04/2021,107.206
12/04/2021,108.8019
13/04/2021,108.8958
14/04/2021,107.7693
15/04/2021,109.6468
16/04/2021,109.2713
19/04/2021,110.3039
20/04/2021,112.0876
21/04/2021,113.0263
22/04/2021,111.6182
23/04/2021,112.3692
26/04/2021,113.1202
27/04/2021,113.1202
28/04/2021,113.6834
29/04/2021,115.1855
30/04/2021,114.9038
3/05/2021,114.8099
4/05/2021,113.4018
5/05/2021,113.0263
6/05/2021,114.5283
7/05/2021,118.565
10/05/2021,118.0956
11/05/2021,113.2141
12/05/2021,111.5243
13/05/2021,113.3079
14/05/2021,113.7773
17/05/2021,113.2141
18/05/2021,113.1202
19/05/2021,113.6834
20/05/2021,113.5896
21/05/2021,113.1202
24/05/2021,113.9651
25/05/2021,114.5283
26/05/2021,116.1242
27/05/2021,115.9365
28/05/2021,116.2181
1/06/2021,118.9405
2/06/2021,117.814
3/06/2021,117.2507
4/06/2021,118.0956
7/06/2021,119.8792
8/06/2021,121.0057
9/06/2021,121.3812
10/06/2021,122.1322
11/06/2021,121.7567
14/06/2021,122.0384
15/06/2021,120.3486
16/06/2021,118.6589
17/06/2021,117.5323
18/06/2021,115.4671
21/06/2021,117.1568
22/06/2021,116.4997
23/06/2021,114.8099
24/06/2021,115.0916
25/06/2021,115.0916
28/06/2021,114.5283
29/06/2021,113.8477
30/06/2021,113.1847
1/07/2021,114.2266
2/07/2021,114.6054
6/07/2021,115.6473
7/07/2021,116.1209
8/07/2021,114.416
9/07/2021,116.1209
12/07/2021,118.5835
13/07/2021,117.8258
14/07/2021,118.6782
15/07/2021,120.0989
16/07/2021,119.4359
19/07/2021,116.9733
20/07/2021,120.1936
21/07/2021,120.7619
22/07/2021,120.0989
23/07/2021,121.7091
26/07/2021,121.1408
27/07/2021,121.9932
28/07/2021,122.3721
29/07/2021,123.7928
30/07/2021,124.5505
2/08/2021,123.5087
3/08/2021,124.3611
4/08/2021,123.6034
5/08/2021,125.2136
6/08/2021,125.5924
9/08/2021,126.5396
10/08/2021,124.9294
11/08/2021,125.6871
12/08/2021,126.066
13/08/2021,126.3501
16/08/2021,126.729
17/08/2021,126.8237
18/08/2021,125.4977
19/08/2021,126.729
20/08/2021,127.392
23/08/2021,127.4867
24/08/2021,125.403
25/08/2021,125.1188
26/08/2021,124.9294
27/08/2021,127.1079
30/08/2021,127.8656
31/08/2021,128.1497
1/09/2021,130.707
2/09/2021,132.3172
3/09/2021,132.2225
7/09/2021,131.1806
8/09/2021,132.6961
9/09/2021,130.2335
10/09/2021,129.0969
13/09/2021,129.9493
14/09/2021,129.5705
15/09/2021,129.1916
16/09/2021,128.3392
17/09/2021,126.6343
20/09/2021,126.5396
21/09/2021,126.2554
22/09/2021,125.403
23/09/2021,124.1717
24/09/2021,121.8985
27/09/2021,120.9514
28/09/2021,122.6562
29/09/2021,123.7691
30/09/2021,121.7636
1/10/2021,123.8646
4/10/2021,123.3871
5/10/2021,125.2972
6/10/2021,129.8812
7/10/2021,131.6957
8/10/2021,133.9877
11/10/2021,136.1843
12/10/2021,137.7123
13/10/2021,138.3808
14/10/2021,138.8583
15/10/2021,137.6168
18/10/2021,139.5268
19/10/2021,139.9088
20/10/2021,140.6728
21/10/2021,139.9088
22/10/2021,139.3358
25/10/2021,140.0043
26/10/2021,139.4313
27/10/2021,139.5268
28/10/2021,141.2458
29/10/2021,139.1448
1/11/2021,140.8638
2/11/2021,140.5773
3/11/2021,141.6278
4/11/2021,137.8078
5/11/2021,140.7683
8/11/2021,142.1053
9/11/2021,141.6278
10/11/2021,141.7233
11/11/2021,141.8188
12/11/2021,141.2458
15/11/2021,144.9703
16/11/2021,144.2063
17/11/2021,146.4984
18/11/2021,145.3523
19/11/2021,145.4478
22/11/2021,145.3523
23/11/2021,145.5433
24/11/2021,146.3074
26/11/2021,143.5378
29/11/2021,143.7288
30/11/2021,143.7288
1/12/2021,141.8188
2/12/2021,144.3018
3/12/2021,144.3973
6/12/2021,145.4478
7/12/2021,145.2568
8/12/2021,146.8804
9/12/2021,145.3523
10/12/2021,145.5433
13/12/2021,147.7399
14/12/2021,145.5433
15/12/2021,146.1163
16/12/2021,146.2119
17/12/2021,144.0153
20/12/2021,143.8243
21/12/2021,144.3018
22/12/2021,144.7793
23/12/2021,145.3523
27/12/2021,147.9309
28/12/2021,149.5544
29/12/2021,150.1274
30/12/2021,150.5094
31/12/2021,150.3169
3/01/2022,148.7772
4/01/2022,146.9487
5/01/2022,141.5597
6/01/2022,140.3086
7/01/2022,138.6727
10/01/2022,136.9404
11/01/2022,136.8442
12/01/2022,137.2292
13/01/2022,136.363
14/01/2022,136.1706
18/01/2022,135.2082
19/01/2022,132.8986
20/01/2022,134.0534
21/01/2022,136.4593
24/01/2022,134.6308
25/01/2022,137.1329
26/01/2022,137.2292
27/01/2022,135.2082
28/01/2022,138.6727
31/01/2022,143.2919
1/02/2022,144.2542
2/02/2022,147.5261
3/02/2022,146.3713
4/02/2022,145.0241
7/02/2022,144.158
8/02/2022,148.3923
9/02/2022,149.0659
10/02/2022,146.7563
11/02/2022,147.9111
14/02/2022,146.0826
15/02/2022,145.6015
16/02/2022,147.2374
17/02/2022,146.7563
18/02/2022,145.8902
22/02/2022,145.409
23/02/2022,142.9069
24/02/2022,146.8525
25/02/2022,150.6056
28/02/2022,148.7772
1/03/2022,149.1621
2/03/2022,149.7395
3/03/2022,150.4132
4/03/2022,152.819
7/03/2022,149.7395
8/03/2022,149.5471
9/03/2022,148.8734
10/03/2022,148.8734
11/03/2022,148.1998
14/03/2022,147.7186
15/03/2022,148.3923
16/03/2022,148.1998
17/03/2022,149.3546
18/03/2022,150.5094
21/03/2022,150.5094
22/03/2022,151.0868
23/03/2022,148.4885
24/03/2022,149.2584
25/03/2022,151.183
28/03/2022,151.8567
29/03/2022,154.3587
30/03/2022,153.1077
31/03/2022,152.235
1/04/2022,155.047
4/04/2022,150.1018
5/04/2022,149.617
6/04/2022,150.8775
7/04/2022,151.5563
8/04/2022,130.127
11/04/2022,128.7695
12/04/2022,126.7332
13/04/2022,131.5815
14/04/2022,128.8665
18/04/2022,128.4786
19/04/2022,128.1877
20/04/2022,129.0604
21/04/2022,127.315
22/04/2022,127.0241
25/04/2022,128.2847
26/04/2022,125.6666
27/04/2022,125.1818
28/04/2022,126.8302
29/04/2022,121.691
2/05/2022,119.8487
3/05/2022,121.1093
4/05/2022,121.885
5/05/2022,115.2914
6/05/2022,113.1581
9/05/2022,109.0856
10/05/2022,108.5038
11/05/2022,107.2433
12/05/2022,109.7644
13/05/2022,113.1581
16/05/2022,111.8976
17/05/2022,113.643
18/05/2022,108.6008
19/05/2022,107.0493
20/05/2022,107.3402
23/05/2022,109.0856
24/05/2022,110.2492
25/05/2022,110.4431
26/05/2022,110.9279
27/05/2022,113.3521
31/05/2022,112.0915
1/06/2022,111.8006
2/06/2022,111.9945
3/06/2022,109.0856
6/06/2022,109.8613
7/06/2022,111.0249
8/06/2022,109.9583
9/06/2022,107.8251
10/06/2022,105.11
13/06/2022,100.6496
14/06/2022,99.29214
15/06/2022,100.4557
16/06/2022,97.35284
17/06/2022,99.77696
21/06/2022,100.9405
22/06/2022,101.0375
23/06/2022,103.6556
24/06/2022,106.5645
27/06/2022,105.7888
28/06/2022,105.304
29/06/2022,104.9161
30/06/2022,105.3083
1/07/2022,105.7005
5/07/2022,105.8966
6/07/2022,104.5239
7/07/2022,103.9356
8/07/2022,103.3473
11/07/2022,103.3473
12/07/2022,103.9356
13/07/2022,103.1512
14/07/2022,100.896
15/07/2022,101.4843
18/07/2022,99.71933
19/07/2022,101.8765
20/07/2022,101.9745
21/07/2022,103.7395
22/07/2022,104.6219
25/07/2022,105.7005
26/07/2022,105.3083
27/07/2022,104.72
28/07/2022,106.2888
29/07/2022,107.5635
1/08/2022,106.1908
2/08/2022,105.1122
3/08/2022,104.8181
4/08/2022,104.72
5/08/2022,106.0927
8/08/2022,105.4064
9/08/2022,106.1908
10/08/2022,107.9557
11/08/2022,108.8382
12/08/2022,110.5051
15/08/2022,111.0934
16/08/2022,110.1129
17/08/2022,109.3285
18/08/2022,109.5246
19/08/2022,108.1518
22/08/2022,104.3278
23/08/2022,103.3473
24/08/2022,103.8375
25/08/2022,105.0142
26/08/2022,102.1706
29/08/2022,101.0921
30/08/2022,99.62127
31/08/2022,98.64075
1/09/2022,98.64075
2/09/2022,99.13101
6/09/2022,99.52322
7/09/2022,102.2687
8/09/2022,101.2882
9/09/2022,102.3667
12/09/2022,103.3473
13/09/2022,97.95438
14/09/2022,95.69918
15/09/2022,95.60112
16/09/2022,96.58165
19/09/2022,96.28749
20/09/2022,95.60112
21/09/2022,96.4836
22/09/2022,95.60112
23/09/2022,94.22839
26/09/2022,90.20824
27/09/2022,86.38419
28/09/2022,91.09071
29/09/2022,89.52187
30/09/2022,91.01225
3/10/2022,92.40326
4/10/2022,94.29107
5/10/2022,91.50904
6/10/2022,90.31674
7/10/2022,89.12444
10/10/2022,89.12444
11/10/2022,89.91931
12/10/2022,89.91931
13/10/2022,93.79428
14/10/2022,91.21096
17/10/2022,93.993
18/10/2022,94.48979
19/10/2022,91.21096
20/10/2022,90.01866
21/10/2022,91.31032
24/10/2022,91.50904
25/10/2022,94.39043
26/10/2022,94.39043
27/10/2022,94.98658
28/10/2022,97.07311
31/10/2022,96.17888
1/11/2022,97.17247
2/11/2022,95.28466
3/11/2022,100.9481
4/11/2022,100.4513
7/11/2022,102.8359
8/11/2022,101.0474
9/11/2022,99.65642
10/11/2022,107.1083
11/11/2022,104.8231
14/11/2022,102.3391
15/11/2022,102.4385
16/11/2022,101.6436
17/11/2022,102.7365
18/11/2022,104.2269
21/11/2022,101.9417
22/11/2022,102.5378
23/11/2022,102.8359
25/11/2022,102.1404
28/11/2022,100.2526
29/11/2022,103.9288
30/11/2022,106.9096
1/12/2022,106.9096
2/12/2022,106.5122
5/12/2022,103.8295
6/12/2022,101.7429
7/12/2022,105.2205
8/12/2022,104.8231
9/12/2022,105.1211
12/12/2022,105.3199
13/12/2022,107.1083
14/12/2022,106.5122
15/12/2022,104.6243
16/12/2022,102.5378
19/12/2022,100.7494
20/12/2022,100.65
21/12/2022,101.5442
22/12/2022,101.6436
23/12/2022,102.5378
27/12/2022,102.9352
28/12/2022,100.5506
29/12/2022,102.0907
30/12/2022,100.7831
3/01/2023,102.9959
4/01/2023,106.8181
5/01/2023,103.0965
6/01/2023,106.3151
9/01/2023,106.8181
10/01/2023,107.1198
11/01/2023,111.8472
12/01/2023,113.7582
13/01/2023,113.557
17/01/2023,112.6518
18/01/2023,111.5454
19/01/2023,111.3442
20/01/2023,112.9536
23/01/2023,114.4623
24/01/2023,114.5629
25/01/2023,113.4565
26/01/2023,115.2669
27/01/2023,115.5687
30/01/2023,113.8588
31/01/2023,116.1722
1/02/2023,116.4739
2/02/2023,118.7873
3/02/2023,117.3792
6/02/2023,116.3733
7/02/2023,115.971
8/02/2023,114.6635
9/02/2023,114.2611
10/02/2023,114.1605
13/02/2023,115.1664
14/02/2023,113.557
15/02/2023,114.1605
16/02/2023,112.6518
17/02/2023,112.4506
21/02/2023,110.2378
22/02/2023,106.7175
23/02/2023,107.9245
24/02/2023,105.0076
27/02/2023,104.7058
28/02/2023,104.907
1/03/2023,103.3983
2/03/2023,104.7058
3/03/2023,105.6111
6/03/2023,103.9012
7/03/2023,102.2919
8/03/2023,102.6942
9/03/2023,101.6884
10/03/2023,99.37499
13/03/2023,98.97266
14/03/2023,100.6826
15/03/2023,100.2802
16/03/2023,100.0791
17/03/2023,98.06742
20/03/2023,99.37499
21/03/2023,99.17383
22/03/2023,95.55288
23/03/2023,94.54706
24/03/2023,97.56452
27/03/2023,98.7715
28/03/2023,99.27441
29/03/2023,101.0849
30/03/2023,102.3422
31/03/2023,104.9898
3/04/2023,102.5458
4/04/2023,101.222
5/04/2023,101.3238
6/04/2023,100.8147
10/04/2023,99.6945
11/04/2023,99.18534
12/04/2023,99.28717
13/04/2023,98.57434
14/04/2023,96.94501
17/04/2023,97.65784
18/04/2023,97.14868
19/04/2023,98.26884
20/04/2023,97.86151
21/04/2023,98.37067
24/04/2023,97.55601
25/04/2023,94.70468
26/04/2023,93.07536
27/04/2023,94.29735
28/04/2023,95.72301
,
,
,
,
,
,
,
,
,
,
