Date,Stock G
1/12/2020,78.47177
2/12/2020,77.29782
3/12/2020,77.03695
4/12/2020,77.5587
7/12/2020,76.98477
8/12/2020,79.12396
9/12/2020,79.20222
10/12/2020,79.0457
11/12/2020,79.2544
14/12/2020,79.22831
15/12/2020,81.1588
16/12/2020,81.83708
17/12/2020,82.38492
18/12/2020,79.38484
21/12/2020,80.32399
22/12/2020,81.94143
23/12/2020,80.19356
24/12/2020,80.81966
28/12/2020,81.21098
29/12/2020,81.08054
30/12/2020,81.41968
31/12/2020,82.02201
4/01/2021,79.50792
5/01/2021,79.53411
6/01/2021,79.19366
7/01/2021,77.96281
8/01/2021,79.5603
11/01/2021,79.50792
12/01/2021,79.19366
13/01/2021,79.95313
14/01/2021,79.61268
15/01/2021,80.13645
19/01/2021,80.42452
20/01/2021,81.62918
21/01/2021,81.07923
22/01/2021,81.34111
25/01/2021,81.23636
26/01/2021,81.89107
27/01/2021,78.90559
28/01/2021,78.90777
29/01/2021,78.3556
1/02/2021,81.32681
2/02/2021,82.06303
3/02/2021,81.43198
4/02/2021,82.48373
5/02/2021,82.53632
8/02/2021,83.14108
9/02/2021,84.3506
10/02/2021,83.45661
11/02/2021,83.98248
12/02/2021,85.6127
16/02/2021,85.29717
17/02/2021,84.50836
18/02/2021,83.53549
19/02/2021,83.9036
22/02/2021,83.58807
23/02/2021,83.45661
24/02/2021,84.58724
25/02/2021,84.08985
26/02/2021,83.27165
1/03/2021,84.53854
2/03/2021,84.38018
3/03/2021,83.53558
4/03/2021,83.35083
5/03/2021,84.82887
8/03/2021,86.46527
9/03/2021,86.49166
10/03/2021,86.51805
11/03/2021,86.30691
12/03/2021,88.392
15/03/2021,90.79381
16/03/2021,90.95217
17/03/2021,90.60905
18/03/2021,90.23954
19/03/2021,88.28642
22/03/2021,87.78494
23/03/2021,88.97265
24/03/2021,87.60019
25/03/2021,88.26003
26/03/2021,90.26594
29/03/2021,90.34512
30/03/2021,89.84584
31/03/2021,89.02473
1/04/2021,91.54104
5/04/2021,91.17022
6/04/2021,91.48807
7/04/2021,91.51456
8/04/2021,92.04431
9/04/2021,92.46811
12/04/2021,93.3422
13/04/2021,93.9779
14/04/2021,92.97137
15/04/2021,94.50765
16/04/2021,94.1898
19/04/2021,94.16331
20/04/2021,97.02397
21/04/2021,97.15641
22/04/2021,96.07042
23/04/2021,96.07042
26/04/2021,96.28232
27/04/2021,96.07042
28/04/2021,95.91149
29/04/2021,96.68184
30/04/2021,97.02732
3/05/2021,97.00075
4/05/2021,96.09718
5/05/2021,92.85496
6/05/2021,95.14046
7/05/2021,96.54896
10/05/2021,97.0539
11/05/2021,94.34319
12/05/2021,91.65906
13/05/2021,93.83826
14/05/2021,94.7684
17/05/2021,94.36977
18/05/2021,94.05086
19/05/2021,93.81168
20/05/2021,94.6621
21/05/2021,94.42292
24/05/2021,95.22018
25/05/2021,94.79498
26/05/2021,95.858
27/05/2021,95.16925
28/05/2021,95.22258
1/06/2021,97.1425
2/06/2021,98.07579
3/06/2021,98.44911
4/06/2021,98.15579
7/06/2021,99.86238
8/06/2021,101.009
9/06/2021,101.7823
10/06/2021,103.0889
11/06/2021,103.0889
14/06/2021,104.8755
15/06/2021,103.0089
16/06/2021,102.7156
17/06/2021,102.8756
18/06/2021,101.409
21/06/2021,104.0489
22/06/2021,102.8756
23/06/2021,101.729
24/06/2021,100.6357
25/06/2021,101.729
28/06/2021,100.7957
29/06/2021,100.5312
30/06/2021,100.13
1/07/2021,99.96946
2/07/2021,100.9593
6/07/2021,102.6446
7/07/2021,102.6446
8/07/2021,102.4841
9/07/2021,104.4369
12/07/2021,105.9082
13/07/2021,105.0255
14/07/2021,105.4802
15/07/2021,106.042
16/07/2021,107.1656
19/07/2021,104.4369
20/07/2021,107.1923
21/07/2021,106.8713
22/07/2021,105.9082
23/07/2021,107.4598
26/07/2021,106.684
27/07/2021,107.112
28/07/2021,109.6267
29/07/2021,110.5384
30/07/2021,110.8604
2/08/2021,109.7872
3/08/2021,110.6726
4/08/2021,110.2433
5/08/2021,111.5311
6/08/2021,111.3433
9/08/2021,111.3702
10/08/2021,109.5726
11/08/2021,110.6458
12/08/2021,111.3433
13/08/2021,112.5238
16/08/2021,112.9799
17/08/2021,112.8995
18/08/2021,111.0214
19/08/2021,112.1751
20/08/2021,112.5775
23/08/2021,111.397
24/08/2021,110.0287
25/08/2021,110.3238
26/08/2021,110.4311
27/08/2021,111.6921
30/08/2021,114.5383
31/08/2021,113.6773
1/09/2021,114.7266
2/09/2021,115.9912
3/09/2021,116.4217
7/09/2021,115.5876
8/09/2021,115.9643
9/09/2021,113.3544
10/09/2021,111.9822
13/09/2021,112.2782
14/09/2021,111.9284
15/09/2021,111.7132
16/09/2021,111.471
17/09/2021,112.5204
20/09/2021,111.8208
21/09/2021,111.1482
22/09/2021,111.7132
23/09/2021,109.48
24/09/2021,107.9464
27/09/2021,107.489
28/09/2021,106.897
29/09/2021,107.8679
30/09/2021,105.9248
1/10/2021,107.4901
4/10/2021,108.4616
5/10/2021,108.4616
6/10/2021,110.6206
7/10/2021,110.1078
8/10/2021,109.5411
11/10/2021,110.1618
12/10/2021,112.7526
13/10/2021,114.2639
14/10/2021,115.8561
15/10/2021,115.3433
18/10/2021,116.4228
19/10/2021,116.2609
20/10/2021,117.8532
21/10/2021,117.6642
22/10/2021,118.5548
25/10/2021,118.7707
26/10/2021,119.2025
27/10/2021,117.8262
28/10/2021,121.0129
29/10/2021,117.7928
1/11/2021,117.3327
2/11/2021,117.1433
3/11/2021,118.361
4/11/2021,114.3561
5/11/2021,114.6267
8/11/2021,114.735
9/11/2021,114.5997
10/11/2021,114.735
11/11/2021,115.9256
12/11/2021,115.5738
15/11/2021,116.6562
16/11/2021,115.655
17/11/2021,116.0338
18/11/2021,115.7903
19/11/2021,115.7362
22/11/2021,115.9797
23/11/2021,116.4939
24/11/2021,118.2257
26/11/2021,115.7903
29/11/2021,117.9032
30/11/2021,118.256
1/12/2021,117.3877
2/12/2021,117.3334
3/12/2021,117.9032
6/12/2021,121.5394
7/12/2021,120.2369
8/12/2021,121.4037
9/12/2021,119.2057
10/12/2021,120.8067
13/12/2021,123.9544
14/12/2021,122.3263
15/12/2021,123.5745
16/12/2021,123.0861
17/12/2021,122.7333
20/12/2021,122.1906
21/12/2021,121.9464
22/12/2021,122.7605
23/12/2021,123.3303
27/12/2021,126.3423
28/12/2021,128.2147
29/12/2021,130.0056
30/12/2021,129.1667
31/12/2021,130.4725
3/01/2022,127.8609
4/01/2022,125.7389
5/01/2022,123.3721
6/01/2022,123.2633
7/01/2022,121.8215
10/01/2022,120.2164
11/01/2022,121.087
12/01/2022,120.8149
13/01/2022,119.5635
14/01/2022,118.5842
18/01/2022,116.5438
19/01/2022,116.299
20/01/2022,114.2587
21/01/2022,114.9388
24/01/2022,113.5513
25/01/2022,112.2727
26/01/2022,110.8581
27/01/2022,109.5251
28/01/2022,113.8007
31/01/2022,116.5837
1/02/2022,115.1922
2/02/2022,116.9656
3/02/2022,116.1744
4/02/2022,114.3191
7/02/2022,112.8458
8/02/2022,112.0546
9/02/2022,113.6916
10/02/2022,109.5172
11/02/2022,110.1447
14/02/2022,109.4899
15/02/2022,108.8351
16/02/2022,108.5349
17/02/2022,107.2253
18/02/2022,106.2977
22/02/2022,105.3427
23/02/2022,104.0604
24/02/2022,105.8066
25/02/2022,108.4304
28/02/2022,106.6241
1/03/2022,104.6263
2/03/2022,107.4451
3/03/2022,109.3335
4/03/2022,109.5798
7/03/2022,107.1441
8/03/2022,107.0072
9/03/2022,108.1019
10/03/2022,108.403
11/03/2022,108.1567
14/03/2022,108.3209
15/03/2022,108.5125
16/03/2022,109.224
17/03/2022,111.7692
18/03/2022,112.5902
21/03/2022,111.9881
22/03/2022,112.2892
23/03/2022,110.4829
24/03/2022,110.8661
25/03/2022,110.8113
28/03/2022,112.0976
29/03/2022,115.5733
30/03/2022,115.7147
31/03/2022,113.4915
1/04/2022,115.8794
4/04/2022,114.3698
5/04/2022,113.2445
6/04/2022,114.5894
7/04/2022,114.013
8/04/2022,112.9426
11/04/2022,109.7039
12/04/2022,108.9354
13/04/2022,110.8018
14/04/2022,109.5392
18/04/2022,109.5118
19/04/2022,113.1347
20/04/2022,115.6872
21/04/2022,113.4915
22/04/2022,111.8996
25/04/2022,111.3781
26/04/2022,108.8256
27/04/2022,108.9903
28/04/2022,111.3004
29/04/2022,102.7388
2/05/2022,100.6466
3/05/2022,102.4635
4/05/2022,102.3534
5/05/2022,98.30661
6/05/2022,96.15934
